persona_sk,sexo_cod,edad,alfabetismo_cod,asistencia_escolar,nivel_educativo_cod,cotiza_pension_cod,actividad_economica_cod,sexo,alfabetismo,nivel_educativo,cotiza_pension,actividad_economica,grupo_edad
281,2,2,2,2,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
282,2,1,1,1,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
283,2,4,2,2,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
284,2,5,1,2,3,1,1,Mujer,Alfabeto,Primaria,Cotiza,Empleado,6-12
285,1,4,1,1,3,1,4,Hombre,Alfabeto,Primaria,Cotiza,Estudiante,0-5
286,1,6,1,2,1,3,5,Hombre,Alfabeto,Ninguno,,Ama de casa,6-12
287,1,4,1,2,3,2,4,Hombre,Alfabeto,Primaria,No cotiza,Estudiante,0-5
288,2,5,1,2,2,1,1,Mujer,Alfabeto,Preescolar,Cotiza,Empleado,6-12
289,2,6,2,2,1,1,5,Mujer,Analfabeto,Ninguno,Cotiza,Ama de casa,6-12
290,1,5,1,2,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,6-12
291,1,6,1,2,3,3,1,Hombre,Alfabeto,Primaria,,Empleado,6-12
292,2,5,1,1,3,2,5,Mujer,Alfabeto,Primaria,No cotiza,Ama de casa,6-12
293,2,4,2,1,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,0-5
294,1,5,1,1,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,6-12
295,1,6,1,1,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,6-12
296,2,5,1,2,1,1,2,Mujer,Alfabeto,Ninguno,Cotiza,Independiente,6-12
297,2,3,1,2,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,0-5
298,1,6,2,2,1,3,1,Hombre,Analfabeto,Ninguno,,Empleado,6-12
299,1,5,1,2,2,3,5,Hombre,Alfabeto,Preescolar,,Ama de casa,6-12
300,2,6,2,1,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,6-12
301,2,5,1,2,2,3,1,Mujer,Alfabeto,Preescolar,,Empleado,6-12
302,1,5,1,2,3,2,4,Hombre,Alfabeto,Primaria,No cotiza,Estudiante,6-12
303,1,5,1,1,3,2,4,Hombre,Alfabeto,Primaria,No cotiza,Estudiante,6-12
304,2,6,1,1,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,6-12
305,1,4,1,1,3,2,1,Hombre,Alfabeto,Primaria,No cotiza,Empleado,0-5
306,1,6,2,2,2,1,2,Hombre,Analfabeto,Preescolar,Cotiza,Independiente,6-12
307,2,5,1,2,3,1,4,Mujer,Alfabeto,Primaria,Cotiza,Estudiante,6-12
308,2,5,1,1,3,1,4,Mujer,Alfabeto,Primaria,Cotiza,Estudiante,6-12
309,2,2,1,2,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,0-5
310,1,5,1,2,2,3,3,Hombre,Alfabeto,Preescolar,,Desempleado,6-12
311,1,3,1,1,1,2,4,Hombre,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
312,2,2,1,1,1,2,4,Mujer,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
313,2,4,1,2,2,1,4,Mujer,Alfabeto,Preescolar,Cotiza,Estudiante,0-5
314,2,6,1,2,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,6-12
315,2,2,2,2,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
316,1,6,1,2,3,1,3,Hombre,Alfabeto,Primaria,Cotiza,Desempleado,6-12
317,2,5,1,1,2,1,3,Mujer,Alfabeto,Preescolar,Cotiza,Desempleado,6-12
318,1,5,1,2,3,1,1,Hombre,Alfabeto,Primaria,Cotiza,Empleado,6-12
319,2,5,1,2,3,3,5,Mujer,Alfabeto,Primaria,,Ama de casa,6-12
320,1,4,1,1,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
321,1,4,2,2,2,1,2,Hombre,Analfabeto,Preescolar,Cotiza,Independiente,0-5
322,1,5,2,2,1,1,3,Hombre,Analfabeto,Ninguno,Cotiza,Desempleado,6-12
323,1,3,1,1,2,1,4,Hombre,Alfabeto,Preescolar,Cotiza,Estudiante,0-5
324,2,2,2,1,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
325,1,6,1,2,3,2,3,Hombre,Alfabeto,Primaria,No cotiza,Desempleado,6-12
326,2,3,1,1,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,0-5
327,1,6,2,2,2,1,1,Hombre,Analfabeto,Preescolar,Cotiza,Empleado,6-12
328,2,5,1,2,1,2,2,Mujer,Alfabeto,Ninguno,No cotiza,Independiente,6-12
329,2,4,2,1,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
330,2,2,2,1,1,2,2,Mujer,Analfabeto,Ninguno,No cotiza,Independiente,0-5
331,1,6,2,2,2,3,5,Hombre,Analfabeto,Preescolar,,Ama de casa,6-12
332,1,6,1,2,2,3,3,Hombre,Alfabeto,Preescolar,,Desempleado,6-12
333,2,6,2,1,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,6-12
334,2,5,1,1,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,6-12
335,1,5,1,1,3,2,2,Hombre,Alfabeto,Primaria,No cotiza,Independiente,6-12
336,2,6,1,2,3,2,3,Mujer,Alfabeto,Primaria,No cotiza,Desempleado,6-12
337,2,5,1,2,3,3,2,Mujer,Alfabeto,Primaria,,Independiente,6-12
338,2,1,2,1,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
339,1,4,2,2,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
340,2,6,1,2,3,2,1,Mujer,Alfabeto,Primaria,No cotiza,Empleado,6-12
341,2,4,2,1,2,2,4,Mujer,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
342,1,4,1,1,3,1,1,Hombre,Alfabeto,Primaria,Cotiza,Empleado,0-5
343,2,3,2,2,2,2,4,Mujer,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
344,2,5,1,1,3,1,3,Mujer,Alfabeto,Primaria,Cotiza,Desempleado,6-12
345,1,1,2,1,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
346,1,6,1,1,2,1,5,Hombre,Alfabeto,Preescolar,Cotiza,Ama de casa,6-12
347,2,6,2,2,2,3,5,Mujer,Analfabeto,Preescolar,,Ama de casa,6-12
348,1,6,2,1,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,6-12
349,2,5,2,1,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,6-12
350,1,4,1,2,3,2,5,Hombre,Alfabeto,Primaria,No cotiza,Ama de casa,0-5
351,2,4,2,1,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
352,1,6,1,2,1,2,3,Hombre,Alfabeto,Ninguno,No cotiza,Desempleado,6-12
353,1,1,1,2,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
354,1,6,1,1,3,2,1,Hombre,Alfabeto,Primaria,No cotiza,Empleado,6-12
355,2,5,1,1,2,1,5,Mujer,Alfabeto,Preescolar,Cotiza,Ama de casa,6-12
356,2,3,2,2,1,2,1,Mujer,Analfabeto,Ninguno,No cotiza,Empleado,0-5
357,1,4,1,2,3,1,1,Hombre,Alfabeto,Primaria,Cotiza,Empleado,0-5
358,2,2,1,1,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,0-5
359,2,6,2,2,2,2,2,Mujer,Analfabeto,Preescolar,No cotiza,Independiente,6-12
360,2,4,1,2,1,2,1,Mujer,Alfabeto,Ninguno,No cotiza,Empleado,0-5
361,2,5,1,2,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,6-12
362,1,6,1,1,3,2,5,Hombre,Alfabeto,Primaria,No cotiza,Ama de casa,6-12
363,1,6,1,1,2,1,2,Hombre,Alfabeto,Preescolar,Cotiza,Independiente,6-12
364,1,2,2,1,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,0-5
365,1,6,1,2,3,1,1,Hombre,Alfabeto,Primaria,Cotiza,Empleado,6-12
366,2,4,1,2,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
367,1,1,1,1,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,0-5
368,1,1,1,1,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
369,2,5,2,1,2,2,2,Mujer,Analfabeto,Preescolar,No cotiza,Independiente,6-12
370,2,5,2,2,2,1,2,Mujer,Analfabeto,Preescolar,Cotiza,Independiente,6-12
371,1,5,1,1,3,2,3,Hombre,Alfabeto,Primaria,No cotiza,Desempleado,6-12
372,1,5,1,2,3,1,5,Hombre,Alfabeto,Primaria,Cotiza,Ama de casa,6-12
373,2,3,2,1,2,2,4,Mujer,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
374,1,5,1,1,3,2,1,Hombre,Alfabeto,Primaria,No cotiza,Empleado,6-12
375,1,2,2,2,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,0-5
376,1,2,2,2,2,2,4,Hombre,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
377,1,3,1,1,3,2,4,Hombre,Alfabeto,Primaria,No cotiza,Estudiante,0-5
378,1,5,2,1,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,6-12
379,2,6,1,2,2,3,3,Mujer,Alfabeto,Preescolar,,Desempleado,6-12
380,2,5,1,2,2,3,3,Mujer,Alfabeto,Preescolar,,Desempleado,6-12
381,1,4,1,2,2,3,2,Hombre,Alfabeto,Preescolar,,Independiente,0-5
382,2,3,1,1,3,2,2,Mujer,Alfabeto,Primaria,No cotiza,Independiente,0-5
383,1,6,2,2,1,1,2,Hombre,Analfabeto,Ninguno,Cotiza,Independiente,6-12
384,2,1,1,2,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
385,1,3,2,1,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,0-5
386,1,5,1,1,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,6-12
387,1,2,1,1,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,0-5
388,1,1,2,2,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
389,2,5,1,2,3,2,4,Mujer,Alfabeto,Primaria,No cotiza,Estudiante,6-12
390,1,5,1,2,3,3,2,Hombre,Alfabeto,Primaria,,Independiente,6-12
391,2,6,2,2,1,3,3,Mujer,Analfabeto,Ninguno,,Desempleado,6-12
392,2,6,2,1,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,6-12
393,1,4,2,2,1,1,2,Hombre,Analfabeto,Ninguno,Cotiza,Independiente,0-5
394,2,4,1,2,2,1,1,Mujer,Alfabeto,Preescolar,Cotiza,Empleado,0-5
395,1,5,1,1,2,1,3,Hombre,Alfabeto,Preescolar,Cotiza,Desempleado,6-12
396,1,4,1,2,2,3,5,Hombre,Alfabeto,Preescolar,,Ama de casa,0-5
397,2,2,2,2,1,2,2,Mujer,Analfabeto,Ninguno,No cotiza,Independiente,0-5
398,1,6,2,1,2,2,3,Hombre,Analfabeto,Preescolar,No cotiza,Desempleado,6-12
399,1,6,2,2,1,1,1,Hombre,Analfabeto,Ninguno,Cotiza,Empleado,6-12
400,2,4,1,2,1,2,3,Mujer,Alfabeto,Ninguno,No cotiza,Desempleado,0-5
401,1,5,2,1,1,2,3,Hombre,Analfabeto,Ninguno,No cotiza,Desempleado,6-12
402,2,3,1,2,3,2,4,Mujer,Alfabeto,Primaria,No cotiza,Estudiante,0-5
403,1,5,1,2,1,1,2,Hombre,Alfabeto,Ninguno,Cotiza,Independiente,6-12
404,2,6,1,2,1,2,3,Mujer,Alfabeto,Ninguno,No cotiza,Desempleado,6-12
405,1,4,1,1,3,3,4,Hombre,Alfabeto,Primaria,,Estudiante,0-5
406,1,4,1,2,3,3,2,Hombre,Alfabeto,Primaria,,Independiente,0-5
407,1,4,2,2,2,2,3,Hombre,Analfabeto,Preescolar,No cotiza,Desempleado,0-5
408,2,5,2,2,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,6-12
409,2,5,2,2,1,3,2,Mujer,Analfabeto,Ninguno,,Independiente,6-12
410,1,2,2,1,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,0-5
411,2,3,2,2,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
412,1,6,2,2,2,1,5,Hombre,Analfabeto,Preescolar,Cotiza,Ama de casa,6-12
413,2,4,2,2,1,2,3,Mujer,Analfabeto,Ninguno,No cotiza,Desempleado,0-5
414,2,4,2,2,1,2,2,Mujer,Analfabeto,Ninguno,No cotiza,Independiente,0-5
415,1,4,1,2,2,3,1,Hombre,Alfabeto,Preescolar,,Empleado,0-5
416,2,3,1,1,2,3,4,Mujer,Alfabeto,Preescolar,,Estudiante,0-5
417,2,4,1,2,3,1,3,Mujer,Alfabeto,Primaria,Cotiza,Desempleado,0-5
418,1,6,2,2,2,3,1,Hombre,Analfabeto,Preescolar,,Empleado,6-12
419,1,4,2,1,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
420,1,3,1,2,2,3,1,Hombre,Alfabeto,Preescolar,,Empleado,0-5
421,1,3,2,2,2,2,4,Hombre,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
422,2,5,2,2,1,1,2,Mujer,Analfabeto,Ninguno,Cotiza,Independiente,6-12
423,2,6,1,1,3,3,1,Mujer,Alfabeto,Primaria,,Empleado,6-12
424,2,2,1,2,1,2,1,Mujer,Alfabeto,Ninguno,No cotiza,Empleado,0-5
425,1,3,1,1,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,0-5
426,1,3,2,1,2,2,1,Hombre,Analfabeto,Preescolar,No cotiza,Empleado,0-5
427,2,5,2,1,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,6-12
428,1,5,2,1,2,2,3,Hombre,Analfabeto,Preescolar,No cotiza,Desempleado,6-12
429,1,6,1,1,3,1,1,Hombre,Alfabeto,Primaria,Cotiza,Empleado,6-12
430,1,5,2,2,1,1,5,Hombre,Analfabeto,Ninguno,Cotiza,Ama de casa,6-12
431,2,6,1,2,3,3,1,Mujer,Alfabeto,Primaria,,Empleado,6-12
432,1,5,2,1,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,6-12
433,1,6,2,2,1,1,3,Hombre,Analfabeto,Ninguno,Cotiza,Desempleado,6-12
434,1,4,2,1,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
435,1,6,1,1,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,6-12
436,2,3,2,1,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
437,1,2,1,2,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,0-5
438,1,4,1,2,1,2,3,Hombre,Alfabeto,Ninguno,No cotiza,Desempleado,0-5
439,2,2,2,2,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
440,1,4,1,1,3,1,5,Hombre,Alfabeto,Primaria,Cotiza,Ama de casa,0-5
441,2,5,1,2,2,3,2,Mujer,Alfabeto,Preescolar,,Independiente,6-12
442,2,5,1,2,1,3,5,Mujer,Alfabeto,Ninguno,,Ama de casa,6-12
443,2,2,1,2,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
444,1,6,2,2,1,1,5,Hombre,Analfabeto,Ninguno,Cotiza,Ama de casa,6-12
445,2,4,1,2,2,3,5,Mujer,Alfabeto,Preescolar,,Ama de casa,0-5
446,2,6,2,2,1,1,1,Mujer,Analfabeto,Ninguno,Cotiza,Empleado,6-12
447,1,4,1,2,2,3,3,Hombre,Alfabeto,Preescolar,,Desempleado,0-5
448,1,5,1,1,3,2,5,Hombre,Alfabeto,Primaria,No cotiza,Ama de casa,6-12
449,2,3,1,1,2,2,3,Mujer,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
450,1,4,1,1,3,1,3,Hombre,Alfabeto,Primaria,Cotiza,Desempleado,0-5
451,2,6,1,2,3,3,2,Mujer,Alfabeto,Primaria,,Independiente,6-12
452,1,3,2,2,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
453,1,4,1,1,3,2,5,Hombre,Alfabeto,Primaria,No cotiza,Ama de casa,0-5
454,1,4,1,2,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,0-5
455,2,5,1,1,2,1,4,Mujer,Alfabeto,Preescolar,Cotiza,Estudiante,6-12
456,1,3,2,1,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
457,2,5,2,2,1,1,5,Mujer,Analfabeto,Ninguno,Cotiza,Ama de casa,6-12
458,1,6,1,1,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,6-12
459,2,3,2,2,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,0-5
460,2,4,2,1,1,2,2,Mujer,Analfabeto,Ninguno,No cotiza,Independiente,0-5
461,2,6,1,1,3,2,5,Mujer,Alfabeto,Primaria,No cotiza,Ama de casa,6-12
462,1,5,1,2,3,3,1,Hombre,Alfabeto,Primaria,,Empleado,6-12
463,1,4,1,1,2,1,3,Hombre,Alfabeto,Preescolar,Cotiza,Desempleado,0-5
464,2,5,1,1,3,2,1,Mujer,Alfabeto,Primaria,No cotiza,Empleado,6-12
465,1,5,2,2,1,3,1,Hombre,Analfabeto,Ninguno,,Empleado,6-12
466,1,3,1,1,3,2,5,Hombre,Alfabeto,Primaria,No cotiza,Ama de casa,0-5
467,1,3,1,1,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
468,1,6,1,2,1,3,1,Hombre,Alfabeto,Ninguno,,Empleado,6-12
469,1,3,1,2,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,0-5
470,2,6,2,2,2,2,3,Mujer,Analfabeto,Preescolar,No cotiza,Desempleado,6-12
471,2,5,1,1,3,3,5,Mujer,Alfabeto,Primaria,,Ama de casa,6-12
472,2,4,2,2,2,2,3,Mujer,Analfabeto,Preescolar,No cotiza,Desempleado,0-5
473,1,2,2,2,2,2,1,Hombre,Analfabeto,Preescolar,No cotiza,Empleado,0-5
474,1,6,1,1,1,3,1,Hombre,Alfabeto,Ninguno,,Empleado,6-12
475,2,6,1,1,3,1,2,Mujer,Alfabeto,Primaria,Cotiza,Independiente,6-12
476,1,5,2,2,2,1,1,Hombre,Analfabeto,Preescolar,Cotiza,Empleado,6-12
477,1,4,1,2,1,1,2,Hombre,Alfabeto,Ninguno,Cotiza,Independiente,0-5
478,2,1,1,2,1,2,2,Mujer,Alfabeto,Ninguno,No cotiza,Independiente,0-5
479,1,5,2,1,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,6-12
480,2,6,1,2,1,1,5,Mujer,Alfabeto,Ninguno,Cotiza,Ama de casa,6-12
481,1,3,1,2,3,2,2,Hombre,Alfabeto,Primaria,No cotiza,Independiente,0-5
482,1,3,2,2,2,2,1,Hombre,Analfabeto,Preescolar,No cotiza,Empleado,0-5
483,1,2,2,2,2,2,5,Hombre,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
484,2,3,1,2,2,1,2,Mujer,Alfabeto,Preescolar,Cotiza,Independiente,0-5
485,2,4,2,2,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,0-5
486,2,5,2,2,1,1,1,Mujer,Analfabeto,Ninguno,Cotiza,Empleado,6-12
487,2,4,1,2,3,1,1,Mujer,Alfabeto,Primaria,Cotiza,Empleado,0-5
488,1,6,2,2,2,3,3,Hombre,Analfabeto,Preescolar,,Desempleado,6-12
489,2,3,1,2,3,2,5,Mujer,Alfabeto,Primaria,No cotiza,Ama de casa,0-5
490,1,6,1,2,1,1,2,Hombre,Alfabeto,Ninguno,Cotiza,Independiente,6-12
491,1,1,2,1,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,0-5
492,1,4,2,2,1,3,5,Hombre,Analfabeto,Ninguno,,Ama de casa,0-5
493,2,4,2,2,2,2,2,Mujer,Analfabeto,Preescolar,No cotiza,Independiente,0-5
494,2,4,1,2,2,3,2,Mujer,Alfabeto,Preescolar,,Independiente,0-5
495,1,6,2,1,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,6-12
496,1,6,1,2,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,6-12
497,2,3,1,1,3,1,2,Mujer,Alfabeto,Primaria,Cotiza,Independiente,0-5
498,2,5,1,1,3,3,2,Mujer,Alfabeto,Primaria,,Independiente,6-12
499,1,6,1,1,3,3,2,Hombre,Alfabeto,Primaria,,Independiente,6-12
500,1,3,1,2,3,2,1,Hombre,Alfabeto,Primaria,No cotiza,Empleado,0-5
501,1,5,1,1,3,1,1,Hombre,Alfabeto,Primaria,Cotiza,Empleado,6-12
502,2,3,2,2,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
503,1,2,2,2,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
504,2,6,1,2,1,1,1,Mujer,Alfabeto,Ninguno,Cotiza,Empleado,6-12
505,1,2,1,2,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
506,2,5,2,1,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,6-12
507,2,4,1,2,2,3,1,Mujer,Alfabeto,Preescolar,,Empleado,0-5
508,1,4,1,1,2,3,4,Hombre,Alfabeto,Preescolar,,Estudiante,0-5
509,1,3,2,1,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
510,2,6,1,1,3,2,3,Mujer,Alfabeto,Primaria,No cotiza,Desempleado,6-12
511,2,4,1,1,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
512,1,2,1,2,1,2,4,Hombre,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
513,1,5,2,1,2,1,2,Hombre,Analfabeto,Preescolar,Cotiza,Independiente,6-12
514,1,3,1,2,2,3,4,Hombre,Alfabeto,Preescolar,,Estudiante,0-5
515,1,5,2,1,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,6-12
516,2,5,1,1,2,3,4,Mujer,Alfabeto,Preescolar,,Estudiante,6-12
517,2,4,1,1,2,1,3,Mujer,Alfabeto,Preescolar,Cotiza,Desempleado,0-5
518,1,6,2,2,1,3,2,Hombre,Analfabeto,Ninguno,,Independiente,6-12
519,2,6,1,1,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,6-12
520,2,5,2,2,2,1,5,Mujer,Analfabeto,Preescolar,Cotiza,Ama de casa,6-12
521,1,5,2,1,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,6-12
522,1,3,1,1,3,2,3,Hombre,Alfabeto,Primaria,No cotiza,Desempleado,0-5
523,2,5,1,1,2,3,5,Mujer,Alfabeto,Preescolar,,Ama de casa,6-12
524,2,6,1,1,3,2,4,Mujer,Alfabeto,Primaria,No cotiza,Estudiante,6-12
525,2,6,2,1,1,2,1,Mujer,Analfabeto,Ninguno,No cotiza,Empleado,6-12
526,2,5,2,1,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,6-12
527,1,3,2,2,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
528,1,5,2,2,2,1,5,Hombre,Analfabeto,Preescolar,Cotiza,Ama de casa,6-12
529,2,6,2,2,1,1,2,Mujer,Analfabeto,Ninguno,Cotiza,Independiente,6-12
530,1,5,2,2,1,3,5,Hombre,Analfabeto,Ninguno,,Ama de casa,6-12
531,1,4,2,1,2,1,2,Hombre,Analfabeto,Preescolar,Cotiza,Independiente,0-5
532,2,5,2,2,1,3,5,Mujer,Analfabeto,Ninguno,,Ama de casa,6-12
533,2,4,2,1,2,2,2,Mujer,Analfabeto,Preescolar,No cotiza,Independiente,0-5
534,1,3,2,2,1,2,3,Hombre,Analfabeto,Ninguno,No cotiza,Desempleado,0-5
535,2,6,1,1,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,6-12
536,2,5,1,2,1,1,3,Mujer,Alfabeto,Ninguno,Cotiza,Desempleado,6-12
537,2,3,1,2,2,1,4,Mujer,Alfabeto,Preescolar,Cotiza,Estudiante,0-5
538,2,2,1,1,1,2,1,Mujer,Alfabeto,Ninguno,No cotiza,Empleado,0-5
539,1,5,1,1,2,1,5,Hombre,Alfabeto,Preescolar,Cotiza,Ama de casa,6-12
540,1,2,1,2,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,0-5
541,2,6,1,2,3,1,1,Mujer,Alfabeto,Primaria,Cotiza,Empleado,6-12
542,1,6,2,2,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,6-12
543,1,1,1,2,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,0-5
544,2,3,1,1,2,1,2,Mujer,Alfabeto,Preescolar,Cotiza,Independiente,0-5
545,1,4,1,2,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,0-5
546,1,5,2,2,1,2,4,Hombre,Analfabeto,Ninguno,No cotiza,Estudiante,6-12
547,1,3,1,1,2,1,2,Hombre,Alfabeto,Preescolar,Cotiza,Independiente,0-5
548,1,5,1,2,3,1,4,Hombre,Alfabeto,Primaria,Cotiza,Estudiante,6-12
549,2,6,1,2,3,1,4,Mujer,Alfabeto,Primaria,Cotiza,Estudiante,6-12
550,1,5,1,1,3,1,3,Hombre,Alfabeto,Primaria,Cotiza,Desempleado,6-12
551,2,6,1,1,2,1,2,Mujer,Alfabeto,Preescolar,Cotiza,Independiente,6-12
552,2,3,2,1,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
553,1,3,2,1,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
554,1,6,1,2,1,3,2,Hombre,Alfabeto,Ninguno,,Independiente,6-12
555,1,5,1,1,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,6-12
556,1,6,1,1,3,1,2,Hombre,Alfabeto,Primaria,Cotiza,Independiente,6-12
557,1,5,1,1,1,2,5,Hombre,Alfabeto,Ninguno,No cotiza,Ama de casa,6-12
558,2,4,2,2,1,2,4,Mujer,Analfabeto,Ninguno,No cotiza,Estudiante,0-5
559,1,5,2,2,2,3,3,Hombre,Analfabeto,Preescolar,,Desempleado,6-12
560,1,4,1,1,2,1,1,Hombre,Alfabeto,Preescolar,Cotiza,Empleado,0-5
561,1,5,1,1,2,3,2,Hombre,Alfabeto,Preescolar,,Independiente,6-12
562,2,6,1,2,2,1,3,Mujer,Alfabeto,Preescolar,Cotiza,Desempleado,6-12
563,2,2,1,2,1,2,4,Mujer,Alfabeto,Ninguno,No cotiza,Estudiante,0-5
564,1,5,1,1,3,1,5,Hombre,Alfabeto,Primaria,Cotiza,Ama de casa,6-12
565,2,4,1,2,2,3,3,Mujer,Alfabeto,Preescolar,,Desempleado,0-5
